id,year,category,question,choice1,choice2,choice3,choice4,answer,explanation
otsu4-001,乙四,基礎,"燃焼の成立に必要な3要素の組合せとして正しいものはどれか。",可燃物・酸素供給源・点火源,水・空気・光,窒素・可燃物・蒸気,可燃物・二酸化炭素・点火源,1,"燃焼の3要素は可燃物、酸素供給源、点火源です。"
otsu4-002,乙四,基礎,"第4類危険物の性質として最も適切なものはどれか。",水と反応して可燃性ガスを発生しやすい,引火性液体である,自己燃焼性が極めて高い,酸化性の固体である,2,"乙種第4類は引火性液体を対象とします。"
otsu4-003,乙四,法令,"ガソリンの指定数量はどれか。",50L,100L,200L,500L,3,"ガソリンの指定数量は200Lです。"
otsu4-004,乙四,法令,"製造所等に設ける消火設備の区分を決める主な要素として適切なものはどれか。",従業員の勤続年数,危険物の種類と取扱数量,建物の築年数のみ,事業所の売上高,2,"消火設備は危険物の性質、指定数量の倍数、建築物の構造などを基に区分されます。"
otsu4-005,乙四,性状,"ガソリンの蒸気について正しいものはどれか。",空気より軽く上方に滞留しやすい,空気より重く低所に滞留しやすい,水に非常によく溶ける,不燃性である,2,"ガソリン蒸気は空気より重く、低い場所に滞留しやすい性質があります。"
otsu4-006,乙四,性状,"灯油の性状として適切なものはどれか。",引火点はガソリンより低い,常温で激しく自己反応する,水に溶けにくい可燃性液体である,第1石油類に該当する,3,"灯油は水に溶けにくい可燃性液体で、第2石油類に分類されます。"
otsu4-007,乙四,消火,"油火災に対する初期消火方法として適切なものはどれか。",大量の水を勢いよく注ぐ,泡消火剤や粉末消火剤を用いる,可燃物をかき混ぜる,容器のふたを開けて放熱する,2,"第4類危険物による火災には泡、粉末、二酸化炭素などの消火設備が有効です。"
otsu4-008,乙四,法令,"製造所等の保安距離や保有空地を考える目的として適切なものはどれか。",景観を良くするため,周辺への延焼や災害拡大を防ぐため,従業員の休憩場所を確保するため,搬入車両を駐車しやすくするため,2,"保安距離や保有空地は、火災や爆発による周辺被害の拡大防止を目的とします。"
otsu4-009,乙四,性状,"アルコール類の性状として適切なものはどれか。",すべて水に不溶である,水溶性のものが多い,引火の危険がない,蒸気は発生しない,2,"アルコール類は水溶性のものが多く、消火方法の判断でも重要です。"
otsu4-010,乙四,法令,"危険物施設の点検や記録の目的として最も適切なものはどれか。",帳簿を増やすため,事故や漏えいを未然に防ぐため,税務申告を簡単にするため,商品の販売促進のため,2,"定期的な点検と記録は、設備不良や漏えいの早期発見につながり、事故防止に有効です。"
